NR_046018.2	DDX11L1
NM_001395645.1	LRRC3B
XM_011533332.4	LRRC3B
XM_047447402.1	LRRC3B
XR_007096251.1	LOC124909488
XR_001740034.2	NEK10
NM_001394969.1	NEK10
XM_047447506.1	NEK10
NM_001394967.1	NEK10
NM_001394964.1	NEK10
XM_047447508.1	NEK10
NM_001394965.1	NEK10
NM_001394963.1	NEK10
NM_001394970.1	NEK10
NM_001394968.1	NEK10
XM_017005763.2	NEK10
XM_047447507.1	NEK10
XM_017005768.2	NEK10
XM_006713001.4	NEK10
NM_001394971.1	NEK10
NM_152534.6	NEK10
XM_047447505.1	NEK10
XM_017005762.3	NEK10
XM_017005764.2	NEK10
XM_017005765.2	NEK10
NM_001031741.5	NEK10
NM_001304384.3	NEK10
XM_006712999.4	NEK10
XM_006712998.3	NEK10
XM_047447509.1	NEK10
XM_011533414.3	NEK10
NM_199347.4	NEK10
XM_047447512.1	NEK10
XM_047447511.1	NEK10
XM_047447510.1	NEK10
XM_017005774.3	NEK10
NR_135541.2	SLC4A7
NR_135544.2	SLC4A7
NR_135543.2	SLC4A7
NR_135542.2	SLC4A7
XM_017007527.3	SLC4A7
NM_001321106.2	SLC4A7
XM_047449246.1	SLC4A7
NM_001321107.2	SLC4A7
NM_001258379.2	SLC4A7
XM_006713421.4	SLC4A7
XM_011534263.4	SLC4A7
NM_001321105.2	SLC4A7
NM_001321104.2	SLC4A7
XM_011534265.3	SLC4A7
NM_001321108.2	SLC4A7
XM_011534258.3	SLC4A7
XM_047449247.1	SLC4A7
XM_005265600.6	SLC4A7
XM_011534261.4	SLC4A7
NM_001258380.2	SLC4A7
XM_005265598.6	SLC4A7
NM_003615.5	SLC4A7
XM_011534256.4	SLC4A7
XM_017007529.1	SLC4A7
XM_017007528.1	SLC4A7
XM_047449248.1	SLC4A7
XR_001740552.2	LOC105377005
XR_007095850.1	LOC124906221
XR_007095851.1	LINC02084
NM_001278183.2	EOMES
NM_005442.4	EOMES
XM_005265510.5	EOMES
NR_146630.1	LINC01980
NR_132438.1	LINC01981
XR_001740553.2	LINC01967
XR_940674.3	LOC105377008
NR_138585.2	CMC1
XM_017005760.2	CMC1
XM_047447501.1	CMC1
NM_001331187.2	CMC1
XM_024453365.2	CMC1
XM_024453366.2	CMC1
NM_001331185.2	CMC1
XM_024453370.2	CMC1
XM_024453372.2	CMC1
XM_047447504.1	CMC1
NM_001331189.2	CMC1
NM_001331186.2	CMC1
XM_047447502.1	CMC1
NM_001331190.2	CMC1
XM_047447503.1	CMC1
XM_024453371.2	CMC1
XM_047447500.1	CMC1
XM_024453367.2	CMC1
XM_024453368.2	CMC1
NM_001271650.2	AZI2
XM_005265392.4	AZI2
XM_047448718.1	AZI2
XM_011534009.3	AZI2
NM_001134433.2	AZI2
NM_001134432.2	AZI2
XM_011534011.3	AZI2
XM_011534010.3	AZI2
NR_136708.2	ZCWPW2
NM_001324169.2	ZCWPW2
NM_001324170.2	ZCWPW2
XM_047449399.1	LOC107986012
NR_038840.1	LINC00693
XR_001740425.2	LOC105377009
XR_940675.3	LOC105377009
XR_940677.3	LOC105377009
NR_109804.1	RBMS3-AS3
XM_005265061.3	RBMS3
XM_017006180.2	RBMS3
XM_017006179.2	RBMS3
XM_017006181.2	RBMS3
NM_001177711.2	RBMS3
NM_001003792.3	RBMS3
NM_001177712.2	RBMS3
NM_014483.4	RBMS3
XM_024453454.2	RBMS3
XM_005265062.2	RBMS3
NM_001330696.1	RBMS3
XM_047447976.1	RBMS3
XM_005265063.3	RBMS3
XM_005265065.6	RBMS3
NR_046557.1	RBMS3-AS2
NR_174948.1	RBMS3-AS2
XR_007095852.1	LOC124906222
NR_046556.1	RBMS3-AS1
XR_007095853.1	LOC124906224
XR_007095854.1	LOC124909358
XR_007095855.1	LOC124909358
RF00012	LOC124906377
XR_427323.4	LOC101927995
XR_001740628.2	LOC101927995
XR_007095856.1	LOC101927995
XR_001740627.2	LOC101927995
XR_427322.4	LOC101927995
XR_001740626.2	LOC101927995
XR_940683.2	LOC105377013
NR_147054.1	LINC01985
XM_047449400.1	LOC105377015
XM_011534045.4	TGFBR2
NM_001024847.2	TGFBR2
XM_011534043.3	TGFBR2
XM_047448787.1	TGFBR2
XR_001740630.2	LOC105377016
XR_001740631.2	LOC105377016
XM_017006297.2	GADL1
XM_047448071.1	GADL1
NR_130459.1	MIR466
XR_940694.3	LOC105377018
XR_007095857.1	LOC124909359
XM_011533465.2	STT3B
XM_017005858.2	STT3B
XM_047447390.1	OSBPL10
XM_047447386.1	OSBPL10
XM_047447391.1	OSBPL10
NM_001174060.2	OSBPL10
XM_047447395.1	OSBPL10
XM_047447394.1	OSBPL10
XM_005264845.2	OSBPL10
XM_047447389.1	OSBPL10
XM_047447385.1	OSBPL10
XM_005264844.6	OSBPL10
XM_005264843.5	OSBPL10
XM_047447388.1	OSBPL10
XM_047447387.1	OSBPL10
XM_047447392.1	OSBPL10
XM_047447393.1	OSBPL10
XM_017005670.3	OSBPL10
XR_007095858.1	LOC124909360
NR_049771.1	OSBPL10-AS1
XR_001740138.2	ZNF860
XR_007095674.1	ZNF860
XM_047448072.1	ZNF860
XM_047448074.1	ZNF860
XM_047448073.1	ZNF860
RF00402	LOC124900559
XM_006713068.3	GPD1L
RF01210	LOC124906367
XM_011533416.4	CMTM8
NM_001320308.2	CMTM8
XM_017005779.2	CMTM8
XM_047447513.1	CMTM8
XR_007095859.1	LOC124909361
NM_181472.3	CMTM7
XM_011533319.3	CMTM7
NR_106753.1	MIR548AY
NM_001329135.2	DYNC1LI1
XM_047448246.1	DYNC1LI1
XR_007095860.1	LOC124906226
NR_046352.2	CNOT10
XR_007095661.1	CNOT10
NM_001393367.1	CNOT10
NM_001393366.1	CNOT10
NM_001393368.1	CNOT10
NM_001256741.2	CNOT10
NM_001393369.1	CNOT10
NM_001256742.2	CNOT10
XM_006713085.4	CNOT10
XM_006713084.4	CNOT10
XM_047447927.1	CNOT10
XM_011533566.3	CNOT10
XM_047447928.1	CNOT10
XM_011533567.3	CNOT10
XM_017005687.2	CCR4
NM_001393580.1	GLB1
NM_001135602.3	GLB1
NM_001317040.2	GLB1
NM_001079811.3	GLB1
XR_001740633.2	LOC107986072
NM_001136238.2	TMPPE
NM_001393363.1	CRTAP
NM_001393364.1	CRTAP
NM_001393365.1	CRTAP
XM_005265034.4	SUSD5
XR_007095861.1	LOC124909362
NR_146122.2	FBXL2
NR_146121.2	FBXL2
NR_146123.2	FBXL2
NR_146132.2	FBXL2
NR_146129.2	FBXL2
NR_146125.2	FBXL2
NR_146124.2	FBXL2
XR_007095659.1	FBXL2
NR_146127.2	FBXL2
NR_146128.2	FBXL2
NR_146130.2	FBXL2
NR_146126.2	FBXL2
NR_146134.2	FBXL2
NR_146131.2	FBXL2
NR_146133.2	FBXL2
NR_146135.2	FBXL2
NM_001349319.2	FBXL2
NM_001349323.2	FBXL2
NM_001349326.2	FBXL2
NM_001349321.2	FBXL2
NM_001349325.2	FBXL2
NM_001349322.2	FBXL2
NM_001349320.2	FBXL2
NM_001349324.2	FBXL2
NM_001349316.2	FBXL2
XR_007095724.1	UBP1
XM_047448847.1	UBP1
XM_047448846.1	UBP1
NM_001128161.2	UBP1
NM_001128160.2	UBP1
XM_047448849.1	UBP1
XM_047448848.1	UBP1
XR_007095862.1	LOC124909363
NM_001375713.1	CLASP2
NM_001400406.1	CLASP2
NM_001375705.1	CLASP2
NM_001365634.1	CLASP2
NM_001365630.1	CLASP2
XM_047447759.1	CLASP2
XM_017005949.2	CLASP2
NM_001375697.1	CLASP2
NM_001365632.1	CLASP2
XM_047447757.1	CLASP2
XM_047447756.1	CLASP2
XM_017005959.2	CLASP2
XM_006713052.2	CLASP2
NM_001375694.1	CLASP2
XM_017005948.2	CLASP2
NM_001365627.1	CLASP2
NM_001365629.1	CLASP2
XM_006713041.2	CLASP2
NM_001375700.1	CLASP2
XM_047447755.1	CLASP2
NM_001375703.1	CLASP2
XM_047447761.1	CLASP2
NM_001365633.1	CLASP2
XM_017005960.2	CLASP2
XM_047447758.1	CLASP2
XM_047447760.1	CLASP2
XM_011533515.2	CLASP2
NM_001400405.1	CLASP2
XM_017005957.2	CLASP2
XM_006713053.2	CLASP2
XM_006713050.2	CLASP2
NM_001375701.1	CLASP2
NM_015097.3	CLASP2
XM_006713048.2	CLASP2
XM_017005956.2	CLASP2
XM_006713042.2	CLASP2
NM_001365628.1	CLASP2
XM_006713040.2	CLASP2
XM_047447754.1	CLASP2
NM_001400417.1	CLASP2
NM_001400437.1	CLASP2
NM_001400433.1	CLASP2
XM_047447764.1	CLASP2
NM_001400435.1	CLASP2
NM_001375720.1	CLASP2
NM_001375715.1	CLASP2
NM_001400432.1	CLASP2
XM_017005972.3	CLASP2
NM_001400425.1	CLASP2
NM_001400409.1	CLASP2
NM_001207044.3	CLASP2
NM_001400416.1	CLASP2
NM_001400428.1	CLASP2
NM_001400410.1	CLASP2
NM_001400427.1	CLASP2
NM_001400420.1	CLASP2
NM_001400408.1	CLASP2
NM_001400436.1	CLASP2
XM_047447763.1	CLASP2
NM_001400434.1	CLASP2
NM_001400431.1	CLASP2
NM_001400424.1	CLASP2
NM_001400415.1	CLASP2
NM_001375718.1	CLASP2
NM_001400430.1	CLASP2
XM_047447762.1	CLASP2
XM_017005969.3	CLASP2
NM_001400419.1	CLASP2
NM_001400412.1	CLASP2
NM_001400423.1	CLASP2
NM_001400421.1	CLASP2
NM_001400414.1	CLASP2
NM_001400407.1	CLASP2
NM_001375716.1	CLASP2
NM_001400429.1	CLASP2
XM_017005968.3	CLASP2
NM_001400418.1	CLASP2
NM_001400411.1	CLASP2
NM_001400422.1	CLASP2
NM_001400413.1	CLASP2
XR_940698.4	PDCD6IP-DT
XR_940700.4	PDCD6IP-DT
NM_001162429.3	PDCD6IP
NM_001256192.2	PDCD6IP
XM_011533252.2	PDCD6IP
XM_047447042.1	PDCD6IP
XR_940701.3	LOC105377024
XR_007095863.1	LINC01811
XR_002959623.2	LINC01811
XR_002959622.2	LINC01811
XR_001740636.2	LINC01811
XR_001740635.2	LINC01811
XR_001740640.2	LINC01811
XR_001740637.2	LINC01811
XR_007095864.1	LOC124909364
XR_001740644.2	LOC102724048
XR_007095865.1	LOC102724048
XR_001740643.2	LOC102724048
XR_001740646.2	LOC102724048
XR_001740651.2	LOC102724048
XR_001740647.2	LOC102724048
XR_002959624.2	LOC102724048
XR_007095866.1	LOC102724048
XR_007095867.1	LOC124909365
NR_110817.1	LOC101928135
NR_170705.1	ARPP21
NR_169632.1	ARPP21
NR_169633.1	ARPP21
NR_169644.1	ARPP21
NR_170707.1	ARPP21
NR_169647.1	ARPP21
NR_169645.1	ARPP21
NR_169635.1	ARPP21
NR_169646.1	ARPP21
NR_170706.1	ARPP21
NM_001385489.1	ARPP21
NM_001385490.1	ARPP21
NM_001385488.1	ARPP21
XM_011533303.4	ARPP21
XM_017005580.3	ARPP21
NM_001385564.1	ARPP21
XM_017005598.3	ARPP21
NM_001385497.1	ARPP21
XM_011533299.4	ARPP21
NM_001385495.1	ARPP21
XM_017005584.3	ARPP21
NM_001385558.1	ARPP21
XM_017005591.3	ARPP21
NM_001267619.2	ARPP21
XM_017005596.3	ARPP21
NM_001385536.1	ARPP21
NM_001385563.1	ARPP21
NM_001385492.1	ARPP21
NM_001385556.1	ARPP21
NM_001385517.1	ARPP21
NM_001385491.1	ARPP21
NM_001385496.1	ARPP21
NM_001267616.2	ARPP21
NM_001267617.2	ARPP21
XM_017005574.3	ARPP21
XM_047447338.1	ARPP21
NM_001385484.1	ARPP21
NM_001385565.1	ARPP21
XM_011533300.4	ARPP21
XM_047447337.1	ARPP21
NM_016300.5	ARPP21
XM_047447339.1	ARPP21
NM_001385567.1	ARPP21
XM_047447340.1	ARPP21
NM_001385485.1	ARPP21
NM_001385573.1	ARPP21
NM_001385574.1	ARPP21
NM_001385566.1	ARPP21
XM_024453320.2	ARPP21
XM_024453322.2	ARPP21
XM_024453323.2	ARPP21
NM_001385588.2	ARPP21
NM_001385585.1	ARPP21
XM_011533302.4	ARPP21
NM_001385590.1	ARPP21
NM_001385577.1	ARPP21
NM_001385595.1	ARPP21
NM_001385594.1	ARPP21
NM_001385589.1	ARPP21
NM_001385487.1	ARPP21
NM_001385578.1	ARPP21
XM_017005575.3	ARPP21
NM_001385593.1	ARPP21
XM_017005590.3	ARPP21
XM_011533301.4	ARPP21
NM_001385592.1	ARPP21
NM_001385591.1	ARPP21
NM_001385486.1	ARPP21
NM_001385582.1	ARPP21
NM_001385576.1	ARPP21
NM_001267618.2	ARPP21
NM_001025069.1	ARPP21
NM_001025068.1	ARPP21
NM_001385587.1	ARPP21
NM_001385584.1	ARPP21
NM_001385581.1	ARPP21
NM_198399.2	ARPP21
NM_001385580.1	ARPP21
NR_029824.1	MIR128-2
XR_007095868.1	LOC124906227
XR_940496.3	STAC
XM_047448767.1	STAC
NM_001292049.2	STAC
XM_011534037.4	STAC
XM_047448768.1	STAC
XM_047448770.1	STAC
XM_047448769.1	STAC
XM_017007083.2	STAC
XM_047448771.1	STAC
XM_047449090.1	DCLK3
NM_033403.1	DCLK3
XR_940721.2	LOC105377029
XR_001740654.1	LOC105377029
XR_940722.2	LOC105377030
NR_147141.1	LINC02033
XM_017007570.2	TRANK1
NM_014831.3	TRANK1
XM_047449328.1	TRANK1
XM_047449326.1	TRANK1
XM_047449325.1	TRANK1
XM_011534289.3	TRANK1
XM_047449327.1	TRANK1
XM_047449329.1	TRANK1
XM_047449330.1	TRANK1
XM_017007573.2	TRANK1
XM_047449331.1	TRANK1
XM_047449332.1	TRANK1
XM_047448155.1	MLH1
NM_001354619.2	MLH1
NM_001258274.3	MLH1
NM_001354618.2	MLH1
NM_001354622.2	MLH1
NM_001354627.2	MLH1
NM_001354621.2	MLH1
NM_001167619.3	MLH1
NM_001167617.3	MLH1
NM_001167618.3	MLH1
NM_001354623.2	MLH1
NM_001354628.2	MLH1
NM_001258271.2	MLH1
NM_001354630.2	MLH1
NM_001354624.2	MLH1
XM_005265161.3	MLH1
NM_001354615.2	MLH1
NM_001354629.2	MLH1
NM_001354617.2	MLH1
NM_001354626.2	MLH1
NM_001354616.2	MLH1
NM_001354620.2	MLH1
NM_001354625.2	MLH1
NM_001258273.2	MLH1
XM_047448152.1	MLH1
XM_047448153.1	MLH1
XM_047448154.1	MLH1
NR_145514.2	LRRFIP2
NM_017724.2	LRRFIP2
NM_001348308.1	LRRFIP2
NM_001348304.1	LRRFIP2
NM_001134369.2	LRRFIP2
NM_001348305.1	LRRFIP2
NM_001348301.1	LRRFIP2
XM_006713396.2	LRRFIP2
XM_024453826.2	LRRFIP2
XM_017007473.2	LRRFIP2
XM_017007479.2	LRRFIP2
NM_001348299.1	LRRFIP2
XM_017007471.2	LRRFIP2
NM_001348297.1	LRRFIP2
XM_047449204.1	LRRFIP2
XM_006713389.2	LRRFIP2
XM_017007472.2	LRRFIP2
XM_005265551.2	LRRFIP2
XM_047449202.1	LRRFIP2
XM_006713388.2	LRRFIP2
XM_006713385.2	LRRFIP2
XM_006713387.2	LRRFIP2
XM_006713397.2	LRRFIP2
XM_047449203.1	LRRFIP2
XM_006713393.2	LRRFIP2
XM_017007469.2	LRRFIP2
XM_017007467.2	LRRFIP2
XM_006713392.2	LRRFIP2
XM_011534222.2	LRRFIP2
XM_006713395.2	LRRFIP2
XM_011534217.2	LRRFIP2
XM_017007476.2	LRRFIP2
XM_047449205.1	LRRFIP2
XM_047449207.1	LRRFIP2
XM_006713390.2	LRRFIP2
XM_011534218.2	LRRFIP2
NM_001348298.1	LRRFIP2
XM_011534219.2	LRRFIP2
NM_001348311.1	LRRFIP2
NM_001348309.1	LRRFIP2
XM_024453824.2	LRRFIP2
NM_001348310.1	LRRFIP2
NM_001348306.1	LRRFIP2
NM_001348302.1	LRRFIP2
XM_047449208.1	LRRFIP2
NM_001348303.1	LRRFIP2
XM_047449206.1	LRRFIP2
NM_001348300.1	LRRFIP2
XM_024453821.2	LRRFIP2
XM_024453820.2	LRRFIP2
XM_005265539.3	LRRFIP2
XM_005265540.2	LRRFIP2
XM_047449201.1	LRRFIP2
NM_001282691.1	LRRFIP2
NM_001348307.1	LRRFIP2
NR_168330.1	UBE2FP1
XR_007095869.1	LOC105377642
XR_002959625.2	LOC105377642
XR_007095871.1	LOC105377642
XR_007095870.1	LOC105377642
RF01210	LOC124906354
XM_047449431.1	LOC124909483
NR_149029.1	GOLGA4-AS1
XM_047447981.1	GOLGA4
XM_047447980.1	GOLGA4
XM_024453457.2	GOLGA4
XM_005265069.4	GOLGA4
XM_005265070.4	GOLGA4
XM_005265071.4	GOLGA4
XM_017006184.2	GOLGA4
XM_005265072.4	GOLGA4
XM_006713110.3	GOLGA4
XM_005265073.2	GOLGA4
XM_047447982.1	GOLGA4
XM_005265074.2	GOLGA4
NM_001172713.2	GOLGA4
XM_017006187.2	GOLGA4
XM_047447983.1	GOLGA4
XM_047447985.1	GOLGA4
XM_047447986.1	GOLGA4
XM_047447984.1	GOLGA4
XM_005265075.2	GOLGA4
XM_017006188.2	GOLGA4
XM_011533598.4	GOLGA4
NR_171174.1	APRG1
NR_171173.1	APRG1
NR_126512.1	APRG1
NR_126514.1	APRG1
NR_126513.1	APRG1
NR_126515.1	APRG1
NR_110531.1	ITGA9-AS1
NR_110532.1	ITGA9-AS1
XM_017005519.2	CTDSPL
NM_005808.3	CTDSPL
XM_047447182.1	CTDSPL
XM_017005520.2	CTDSPL
NR_029499.1	MIR26A1
NR_163266.1	VILL
NR_163267.1	VILL
NM_001385039.1	VILL
NM_001385038.1	VILL
NM_001370264.1	VILL
NM_001370265.1	VILL
NR_024071.2	PLCD1
NM_001130964.2	PLCD1
XR_940527.3	DLEC1
NM_001321153.2	DLEC1
NM_007337.4	DLEC1
XM_011534317.3	DLEC1
XM_006713438.4	DLEC1
XM_011534318.3	DLEC1
XM_006713439.4	DLEC1
XM_006713440.4	DLEC1
XM_047449369.1	DLEC1
XM_047449370.1	DLEC1
XR_940727.3	LOC105377033
NR_024024.2	ACAA1
NM_001130410.2	ACAA1
XM_006713122.1	ACAA1
XM_047448057.1	ACAA1
XM_011533650.3	ACAA1
NR_164663.1	MYD88
NM_001172567.2	MYD88
NM_001374787.1	MYD88
NM_001365876.1	MYD88
NM_001172569.3	MYD88
NM_001172568.2	MYD88
NM_001365877.1	MYD88
NM_001172566.2	MYD88
NM_001374788.1	MYD88
XR_940733.2	LOC101928234
XR_245208.4	LOC101928234
XR_940731.2	LOC101928234
XR_940728.2	LOC101928234
XR_001740658.2	LOC101928234
XR_940732.3	LOC101928234
XR_940729.3	LOC101928234
XR_940730.3	LOC101928234
XR_007095781.1	OXSR1
XM_011534331.3	OXSR1
XM_017007601.2	OXSR1
XM_024453851.2	OXSR1
XM_047449386.1	OXSR1
XM_047449387.1	OXSR1
XM_047449388.1	OXSR1
XM_024453852.2	OXSR1
XM_006713416.4	SLC22A14
XM_006713418.5	SLC22A14
XM_006713417.4	SLC22A14
XM_011534247.3	SLC22A14
XM_047449237.1	SLC22A14
XM_047449236.1	SLC22A14
NM_004803.4	SLC22A14
NR_146068.2	XYLB
XR_001740394.3	XYLB
XR_001740393.3	XYLB
XM_011534327.3	XYLB
XM_011534329.3	XYLB
NM_001349178.2	XYLB
XM_011534328.4	XYLB
XM_011534330.4	XYLB
XM_011534325.4	XYLB
XM_047449383.1	XYLB
NM_001349179.2	XYLB
XM_047449384.1	XYLB
NM_001349180.2	XYLB
XM_024453850.2	XYLB
XM_017007596.2	XYLB
XM_047449382.1	XYLB
XM_047449381.1	XYLB
XM_017007597.2	XYLB
NR_028389.1	ACVR2B-AS1
XM_017007515.3	ACVR2B
XM_005265583.4	ACVR2B
XM_017007514.2	ACVR2B
XM_017007516.2	ACVR2B
NR_153330.2	EXOG
NR_153326.2	EXOG
NR_153329.2	EXOG
NR_153328.2	EXOG
NR_153327.2	EXOG
XR_940530.4	EXOG
XR_940529.4	EXOG
XR_940528.2	EXOG
NR_153323.2	EXOG
NR_153324.2	EXOG
NR_153325.2	EXOG
NR_134938.2	EXOG
NR_153322.2	EXOG
XM_047449374.1	EXOG
XM_047449372.1	EXOG
XM_047449375.1	EXOG
XM_047449373.1	EXOG
XM_047449376.1	EXOG
XM_047449377.1	EXOG
XM_047449378.1	EXOG
NM_001145464.2	EXOG
XM_047449379.1	EXOG
XM_047449380.1	EXOG
NM_198056.3	SCN5A
NM_001160161.2	SCN5A
NM_001354701.2	SCN5A
NM_001160160.2	SCN5A
XM_011533991.3	SCN5A
NM_001099405.2	SCN5A
NM_001099404.2	SCN5A
XM_011533994.3	SCN10A
XM_011533993.3	SCN10A
XM_005265371.4	SCN10A
NM_001293307.2	SCN10A
NM_001293306.2	SCN10A
XR_940734.1	LOC105377034
XR_001740555.3	LOC107986042
NR_164473.1	SCN11A
XM_047447378.1	SCN11A
XM_017005650.2	SCN11A
NM_014139.3	SCN11A
XM_017005651.2	SCN11A
XM_011533321.3	SCN11A
XM_017005653.2	SCN11A
NR_144401.2	WDR48
NR_144400.2	WDR48
NR_144399.2	WDR48
NM_001346225.2	WDR48
XM_005265346.5	WDR48
NM_001346227.2	WDR48
NM_001303403.2	WDR48
NM_001346226.2	WDR48
NM_001303402.2	WDR48
NM_001346228.2	WDR48
NR_103866.2	GORASP1
NR_103867.2	GORASP1
XR_940494.4	GORASP1
NM_001278790.2	GORASP1
XM_047448726.1	GORASP1
NM_001278789.2	GORASP1
XM_017007051.3	GORASP1
XM_017007050.3	GORASP1
XM_006713301.5	GORASP1
XM_011534021.4	GORASP1
XM_011534020.4	GORASP1
XM_047448729.1	GORASP1
XM_047448730.1	GORASP1
XM_047448728.1	GORASP1
XM_047448725.1	GORASP1
XM_047448727.1	GORASP1
NR_159494.1	TTC21A
NR_159496.1	TTC21A
NR_159495.1	TTC21A
NM_001366899.1	TTC21A
NM_145755.3	TTC21A
XM_047447647.1	TTC21A
XM_005264921.6	TTC21A
XM_005264922.6	TTC21A
XM_006713011.5	TTC21A
XM_005264924.6	TTC21A
XM_047447648.1	TTC21A
XM_047447650.1	TTC21A
XM_005264926.6	TTC21A
XM_047447651.1	TTC21A
XM_017005843.3	TTC21A
XM_011533447.4	TTC21A
XM_047447649.1	TTC21A
XM_005264925.6	TTC21A
NM_001105513.3	TTC21A
XM_047447652.1	TTC21A
XM_047447653.1	TTC21A
XM_047447654.1	TTC21A
XM_024453382.2	TTC21A
XM_011533449.3	TTC21A
XM_005264927.5	TTC21A
NR_106880.1	MIR6822
XM_047448723.1	CSRNP1
NM_001320560.2	CSRNP1
XM_047448724.1	CSRNP1
XM_047448721.1	CSRNP1
NM_001320559.2	CSRNP1
XM_017007049.2	CSRNP1
XR_245209.4	LOC101928263
XR_940735.3	LOC101928263
XR_940740.3	LOC105377035
NM_001351377.2	XIRP1
XM_047447588.1	XIRP1
XM_005264909.4	XIRP1
NM_001198621.4	XIRP1
XR_007095872.1	LOC124909366
XM_047449432.1	DSTNP4
XR_940742.4	LOC102724104
XM_047447538.1	CX3CR1
NM_001171174.1	CX3CR1
NM_001171171.2	CX3CR1
NM_001171172.2	CX3CR1
XR_001740661.3	LOC105377037
XR_007096252.1	LOC105377644
XR_002959626.2	LOC105377644
NM_001354798.2	SLC25A38
XM_047448413.1	SLC25A38
XM_047448414.1	SLC25A38
XM_047448415.1	SLC25A38
XM_011533869.3	SLC25A38
XM_047448416.1	SLC25A38
XM_024453611.2	SLC25A38
NM_001304288.2	RPSA
NR_002325.1	SNORA6
NR_002324.1	SNORA62
XR_001740663.2	LOC107986075
NR_103505.2	MOBP
NR_103504.2	MOBP
NR_003090.3	MOBP
NR_103506.2	MOBP
NM_001278322.2	MOBP
NM_182935.4	MOBP
NM_001278323.2	MOBP
XR_007095873.1	LOC105377039
XR_940753.2	LOC105377039
XR_940754.2	LOC105377039
XR_940750.1	LOC105377039
XR_007095874.1	LOC105377039
XR_940755.2	LOC105377039
NR_104316.2	MYRIP
NM_001284423.2	MYRIP
NM_001284424.2	MYRIP
NM_001284425.2	MYRIP
XM_011533575.2	MYRIP
NM_001284426.2	MYRIP
XR_007095875.1	LOC124909367
NR_033965.1	EIF1B-AS1
RF00264	LOC124900557
XR_007095876.1	LOC124906228
NM_001291960.2	ENTPD3
NM_001291961.2	ENTPD3
XM_011534266.4	ENTPD3
NR_040100.1	ENTPD3-AS1
NM_003973.5	RPL14
NM_001363277.2	ZNF619
NM_001145082.4	ZNF619
XM_011533607.2	ZNF619
NM_001145094.3	ZNF619
NM_173656.5	ZNF619
XM_006713112.3	ZNF619
NM_001145083.3	ZNF619
XM_006713113.4	ZNF619
XM_047448010.1	ZNF619
XM_017006225.2	ZNF619
XM_017006064.3	ZNF620
XM_005265011.5	ZNF620
XM_047447874.1	ZNF620
NM_001256168.2	ZNF620
XM_047447873.1	ZNF620
XM_017006065.3	ZNF620
NM_001256167.2	ZNF620
XM_005265012.5	ZNF620
XM_047447875.1	ZNF620
XM_011533610.4	ZNF621
NM_001287245.2	ZNF621
XM_005265079.5	ZNF621
XM_005265080.5	ZNF621
NM_001098414.3	ZNF621
XM_006713114.5	ZNF621
XM_017006226.3	ZNF621
XR_007095878.1	LOC124909368
XR_007095877.1	LOC124909368
XR_007095879.1	LOC124909369
XR_007095880.1	LOC124906229
XR_007095882.1	LOC124906229
XR_007095881.1	LOC124906229
XR_007095888.1	LOC124909370
XR_007095886.1	LOC105377043
XR_007095885.1	LOC105377043
XR_940766.3	LOC105377043
XR_007095884.1	LOC105377043
XR_007095883.1	LOC105377043
XR_007095887.1	LOC124906230
XR_940769.3	LOC105377045
NM_001330729.2	CTNNB1
NM_001098209.2	CTNNB1
NM_001098210.2	CTNNB1
XM_006712985.2	CTNNB1
XM_024453356.2	CTNNB1
XM_047447481.1	CTNNB1
XM_047447477.1	CTNNB1
XM_017005738.2	CTNNB1
XM_047447483.1	CTNNB1
XM_047447478.1	CTNNB1
XM_047447480.1	CTNNB1
XM_047447482.1	CTNNB1
XM_047447479.1	CTNNB1
NR_136342.2	ULK4
NM_001322501.2	ULK4
XM_047448417.1	ULK4
XM_024453612.2	ULK4
NM_001322500.2	ULK4
XR_001740666.3	LOC105377046
XR_001740668.2	LOC107986077
NR_146089.1	TRAK1
XM_047447718.1	TRAK1
XM_017005909.2	TRAK1
XM_047447722.1	TRAK1
XM_017005911.2	TRAK1
XM_047447717.1	TRAK1
NM_001349245.1	TRAK1
XM_024453400.2	TRAK1
XM_024453402.2	TRAK1
XM_024453403.2	TRAK1
XM_006713029.3	TRAK1
XM_006713030.3	TRAK1
XM_047447723.1	TRAK1
XM_047447724.1	TRAK1
XM_005264962.4	TRAK1
XM_005264963.4	TRAK1
XM_011533489.4	TRAK1
XM_006713031.5	TRAK1
XM_047447720.1	TRAK1
XM_047447719.1	TRAK1
NM_001349247.2	TRAK1
NM_001349246.2	TRAK1
NM_001265608.2	TRAK1
XM_017005908.2	TRAK1
NM_001349249.1	TRAK1
NM_001349248.1	TRAK1
NM_001265609.2	TRAK1
NM_001265610.1	TRAK1
XM_017005907.3	TRAK1
XM_047447716.1	TRAK1
XM_047447721.1	TRAK1
XM_047447725.1	TRAK1
NM_014965.5	TRAK1
XR_007095889.1	LOC124906231
XR_940772.3	LOC105377048
XR_007095890.1	LOC105377048
XR_940773.3	LOC105377048
NM_001174138.3	CCK
XM_011533355.4	LYZL4
NM_001304386.2	LYZL4
XR_007095891.1	LOC124909371
XR_007095725.1	VIPR1
XR_940500.3	VIPR1
NM_001251882.2	VIPR1
XM_005265437.3	VIPR1
XM_005265439.3	VIPR1
NM_001251884.2	VIPR1
NM_001251883.2	VIPR1
NM_001251885.2	VIPR1
XM_011534080.3	VIPR1
